[2025-04-30 23:30:49] [INFO] 🚀 Начинаем синхронизацию...
[2025-04-30 23:30:49] [INFO] 🔍 Сканируем папку: Zidan
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\distributions\base.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\distributions\base.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\distributions\installed.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\index\collector.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\index\collector.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\index\package_finder.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\index\sources.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\index\sources.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\index\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\index\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\locations\base.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\locations\base.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\locations\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\locations\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\base.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\base.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\_json.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\_json.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\candidate.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\candidate.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\direct_url.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\direct_url.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\format_control.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\format_control.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\index.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\index.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\installation_report.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\installation_report.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\link.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\link.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\scheme.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\scheme.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\search_scope.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\search_scope.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\target_python.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\target_python.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\wheel.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\wheel.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\models\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\models\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\auth.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\auth.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\cache.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\cache.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\download.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\download.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\session.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\session.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\utils.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\utils.py
